seriesID,year,period,value,footnotes,month,date
CEU0000000001,2024,M03,156612,,3,2024-03-01
CEU0000000001,2024,M02,156007,,2,2024-02-01
CEU0000000001,2024,M01,154942,,1,2024-01-01
CEU0000000001,2023,M12,157828,,12,2023-12-01
CEU0000000001,2023,M11,157950,,11,2023-11-01
CEU0000000001,2023,M10,157531,,10,2023-10-01
CEU0000000001,2023,M09,156563,,9,2023-09-01
CEU0000000001,2023,M08,156107,,8,2023-08-01
CEU0000000001,2023,M07,155779,,7,2023-07-01
CEU0000000001,2023,M06,156701,,6,2023-06-01
CEU0000000001,2023,M05,156038,,5,2023-05-01
CEU0000000001,2023,M04,155155,,4,2023-04-01
CEU0000000001,2023,M03,154253,,3,2023-03-01
CEU0000000001,2023,M02,153818,,2,2023-02-01
CEU0000000001,2023,M01,152689,,1,2023-01-01
CEU0000000001,2022,M12,155210,,12,2022-12-01
CEU0000000001,2022,M11,155519,,11,2022-11-01
CEU0000000001,2022,M10,154936,,10,2022-10-01
CEU0000000001,2022,M09,153730,,9,2022-09-01
CEU0000000001,2022,M08,153209,,8,2022-08-01
CEU0000000001,2022,M07,152813,,7,2022-07-01
CEU0000000001,2022,M06,153176,,6,2022-06-01
CEU0000000001,2022,M05,152264,,5,2022-05-01
CEU0000000001,2022,M04,151434,,4,2022-04-01
CEU0000000001,2022,M03,150413,,3,2022-03-01
CEU0000000001,2022,M02,149606,,2,2022-02-01
CEU0000000001,2022,M01,147932,,1,2022-01-01
CEU0000000001,2021,M12,150740,,12,2021-12-01
CEU0000000001,2021,M11,150543,,11,2021-11-01
CEU0000000001,2021,M10,149606,,10,2021-10-01
CEU0000000001,2021,M09,147918,,9,2021-09-01
CEU0000000001,2021,M08,147159,,8,2021-08-01
CEU0000000001,2021,M07,146619,,7,2021-07-01
CEU0000000001,2021,M06,146627,,6,2021-06-01
CEU0000000001,2021,M05,145391,,5,2021-05-01
CEU0000000001,2021,M04,144403,,4,2021-04-01
CEU0000000001,2021,M03,143308,,3,2021-03-01
CEU0000000001,2021,M02,142129,,2,2021-02-01
CEU0000000001,2021,M01,140975,,1,2021-01-01
CEU0000000001,2020,M12,143604,,12,2020-12-01
CEU0000000001,2020,M11,144117,,11,2020-11-01
CEU0000000001,2020,M10,143565,,10,2020-10-01
CEU0000000001,2020,M09,141957,,9,2020-09-01
CEU0000000001,2020,M08,140728,,8,2020-08-01
CEU0000000001,2020,M07,139105,,7,2020-07-01
CEU0000000001,2020,M06,138507,,6,2020-06-01
CEU0000000001,2020,M05,133421,,5,2020-05-01
CEU0000000001,2020,M04,130252,,4,2020-04-01
CEU0000000001,2020,M03,149952,,3,2020-03-01
CEU0000000001,2020,M02,150966,,2,2020-02-01
CEU0000000001,2020,M01,150057,,1,2020-01-01
CEU0500000003,2025,M09,36.60,preliminary,9,2025-09-01
CEU0500000003,2025,M08,36.37,preliminary,8,2025-08-01
CEU0500000003,2025,M07,36.26,,7,2025-07-01
CEU0500000003,2025,M06,36.28,,6,2025-06-01
CEU0500000003,2025,M05,36.14,,5,2025-05-01
CEU0500000003,2025,M04,36.17,,4,2025-04-01
CEU0500000003,2025,M03,36.22,,3,2025-03-01
CEU0500000003,2025,M02,36.19,,2,2025-02-01
CEU0500000003,2025,M01,36.00,,1,2025-01-01
CEU0500000003,2024,M12,35.82,,12,2024-12-01
CEU0500000003,2024,M11,35.47,,11,2024-11-01
